id,category,path
17554,Shirts,/content/fashion_subset/Shirts/17554.jpg
8814,Shirts,/content/fashion_subset/Shirts/8814.jpg
29838,Shirts,/content/fashion_subset/Shirts/29838.jpg
9738,Shirts,/content/fashion_subset/Shirts/9738.jpg
10484,Shirts,/content/fashion_subset/Shirts/10484.jpg
13871,Shirts,/content/fashion_subset/Shirts/13871.jpg
27553,Shirts,/content/fashion_subset/Shirts/27553.jpg
12327,Shirts,/content/fashion_subset/Shirts/12327.jpg
16484,Shirts,/content/fashion_subset/Shirts/16484.jpg
8816,Shirts,/content/fashion_subset/Shirts/8816.jpg
8944,Shirts,/content/fashion_subset/Shirts/8944.jpg
17555,Shirts,/content/fashion_subset/Shirts/17555.jpg
10793,Shirts,/content/fashion_subset/Shirts/10793.jpg
22377,Shirts,/content/fashion_subset/Shirts/22377.jpg
57293,Shirts,/content/fashion_subset/Shirts/57293.jpg
12019,Shirts,/content/fashion_subset/Shirts/12019.jpg
26408,Shirts,/content/fashion_subset/Shirts/26408.jpg
10807,Shirts,/content/fashion_subset/Shirts/10807.jpg
29616,Shirts,/content/fashion_subset/Shirts/29616.jpg
9268,Shirts,/content/fashion_subset/Shirts/9268.jpg
12360,Shirts,/content/fashion_subset/Shirts/12360.jpg
34050,Shirts,/content/fashion_subset/Shirts/34050.jpg
24684,Shirts,/content/fashion_subset/Shirts/24684.jpg
31048,Shirts,/content/fashion_subset/Shirts/31048.jpg
20153,Shirts,/content/fashion_subset/Shirts/20153.jpg
19844,Shirts,/content/fashion_subset/Shirts/19844.jpg
46377,Shirts,/content/fashion_subset/Shirts/46377.jpg
53211,Shirts,/content/fashion_subset/Shirts/53211.jpg
16818,Shirts,/content/fashion_subset/Shirts/16818.jpg
14777,Shirts,/content/fashion_subset/Shirts/14777.jpg
15990,Shirts,/content/fashion_subset/Shirts/15990.jpg
29674,Shirts,/content/fashion_subset/Shirts/29674.jpg
17178,Shirts,/content/fashion_subset/Shirts/17178.jpg
51444,Shirts,/content/fashion_subset/Shirts/51444.jpg
26093,Shirts,/content/fashion_subset/Shirts/26093.jpg
26055,Shirts,/content/fashion_subset/Shirts/26055.jpg
6769,Shirts,/content/fashion_subset/Shirts/6769.jpg
43485,Shirts,/content/fashion_subset/Shirts/43485.jpg
13464,Shirts,/content/fashion_subset/Shirts/13464.jpg
14787,Shirts,/content/fashion_subset/Shirts/14787.jpg
14040,Shirts,/content/fashion_subset/Shirts/14040.jpg
11147,Shirts,/content/fashion_subset/Shirts/11147.jpg
2168,Shirts,/content/fashion_subset/Shirts/2168.jpg
13851,Shirts,/content/fashion_subset/Shirts/13851.jpg
12035,Shirts,/content/fashion_subset/Shirts/12035.jpg
21121,Shirts,/content/fashion_subset/Shirts/21121.jpg
11079,Shirts,/content/fashion_subset/Shirts/11079.jpg
10186,Shirts,/content/fashion_subset/Shirts/10186.jpg
